Lower Bound +,Indicator Label,Lower Bound,Indicator Subcategory,Indicator Type Key,Indicator Unit,Upper Bound,Indicator Value,Upper Bound ,Lower Bound ,Upper Bound -,Panel,Panel Label,Panel_Label_Upper,Panel_Max_Year,Panel_Min_Year,Practice Goal,Practice Key,Practice Name,US_Indicator,Value_First_Last,Year
1.261,Global Average Surface Temperature,1.261,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),1.353,1.307,1.353,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2016
1.145,Global Average Surface Temperature,1.145,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),1.237,1.191,1.237,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2017
0.911,Global Average Surface Temperature,0.911,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),1.003,0.957,1.003,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2006
0.922,Global Average Surface Temperature,0.922,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),1.008,0.965,1.008,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2007
0.791,Global Average Surface Temperature,0.791,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.875,0.833,0.875,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2008
0.923,Global Average Surface Temperature,0.923,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),1.011,0.967,1.011,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2009
0.996,Global Average Surface Temperature,0.996,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),1.084,1.04,1.084,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2010
0.884,Global Average Surface Temperature,0.884,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.97,0.927,0.97,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2011
0.672,Global Average Surface Temperature,0.672,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.768,0.72,0.768,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2000
0.814,Global Average Surface Temperature,0.814,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.908,0.861,0.908,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2001
0.894,Global Average Surface Temperature,0.894,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.986,0.94,0.986,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2002
0.876,Global Average Surface Temperature,0.876,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.972,0.924,0.972,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2003
0.78,Global Average Surface Temperature,0.78,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.872,0.826,0.872,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2004
0.96,Global Average Surface Temperature,0.96,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),1.052,1.006,1.052,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,2005
0.556,Global Average Surface Temperature,0.556,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.644,0.6,0.644,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1994
0.7,Global Average Surface Temperature,0.7,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.79,0.745,0.79,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1995
0.604,Global Average Surface Temperature,0.604,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.69,0.647,0.69,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1996
0.748,Global Average Surface Temperature,0.748,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.832,0.79,0.832,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1997
0.894,Global Average Surface Temperature,0.894,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.988,0.941,0.988,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1998
0.659,Global Average Surface Temperature,0.659,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.753,0.706,0.753,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1999
0.611,Global Average Surface Temperature,0.611,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.679,0.645,0.679,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1988
0.491,Global Average Surface Temperature,0.491,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.565,0.528,0.565,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1989
0.682,Global Average Surface Temperature,0.682,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.758,0.72,0.758,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1990
0.662,Global Average Surface Temperature,0.662,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.742,0.702,0.742,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1991
0.475,Global Average Surface Temperature,0.475,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.557,0.516,0.557,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1992
0.503,Global Average Surface Temperature,0.503,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.589,0.546,0.589,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1993
0.36,Global Average Surface Temperature,0.36,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.44,0.4,0.44,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1982
0.555,Global Average Surface Temperature,0.555,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.631,0.593,0.631,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1983
1.02,Global Average Surface Temperature,1.02,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),1.092,1.056,1.092,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1984
0.383,Global Average Surface Temperature,0.383,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.443,0.413,0.443,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1985
0.436,Global Average Surface Temperature,0.436,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.5,0.468,0.5,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1986
0.568,Global Average Surface Temperature,0.568,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.634,0.601,0.634,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1987
0.149,Global Average Surface Temperature,0.149,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.239,0.194,0.239,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1976
0.449,Global Average Surface Temperature,0.449,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.533,0.491,0.533,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1977
0.323,Global Average Surface Temperature,0.323,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.407,0.365,0.407,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1978
0.416,Global Average Surface Temperature,0.416,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.488,0.452,0.488,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1979
0.533,Global Average Surface Temperature,0.533,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.603,0.568,0.603,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1980
0.579,Global Average Surface Temperature,0.579,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.655,0.617,0.655,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1981
0.333,Global Average Surface Temperature,0.333,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.423,0.378,0.423,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1970
0.208,Global Average Surface Temperature,0.208,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.304,0.256,0.304,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1971
0.301,Global Average Surface Temperature,0.301,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.393,0.347,0.393,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1972
0.421,Global Average Surface Temperature,0.421,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.507,0.464,0.507,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1973
0.202,Global Average Surface Temperature,0.202,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.292,0.247,0.292,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1974
0.256,Global Average Surface Temperature,0.256,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.346,0.301,0.346,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1975
0.104,Global Average Surface Temperature,0.104,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.202,0.153,0.202,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1964
0.204,Global Average Surface Temperature,0.204,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.302,0.253,0.302,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1965
0,Global Average Surface Temperature,0,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.104,0.052,0.104,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1966
0.313,Global Average Surface Temperature,0.313,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.413,0.363,0.413,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1967
0.252,Global Average Surface Temperature,0.252,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.348,0.3,0.348,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1968
0.398,Global Average Surface Temperature,0.398,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.49,0.444,0.49,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1969
0.365,Global Average Surface Temperature,0.365,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.473,0.419,0.473,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1958
0.34,Global Average Surface Temperature,0.34,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.444,0.392,0.444,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1959
0.295,Global Average Surface Temperature,0.295,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.397,0.346,0.397,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1960
0.378,Global Average Surface Temperature,0.378,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.48,0.429,0.48,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1961
0.326,Global Average Surface Temperature,0.326,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.436,0.381,0.436,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1962
0.369,Global Average Surface Temperature,0.369,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.473,0.421,0.473,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1963
0.357,Global Average Surface Temperature,0.357,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.491,0.424,0.491,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1952
0.42,Global Average Surface Temperature,0.42,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.552,0.486,0.552,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1953
0.226,Global Average Surface Temperature,0.226,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.358,0.292,0.358,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1954
0.181,Global Average Surface Temperature,0.181,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.305,0.243,0.305,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1955
0.12,Global Average Surface Temperature,0.12,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.232,0.176,0.232,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1956
,Global Average Surface Temperature,-0.212,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),1.048,0.418,1.048,-0.212,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1957
0.212,Global Average Surface Temperature,0.212,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.378,0.295,0.378,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1946
0.312,Global Average Surface Temperature,0.312,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.482,0.397,0.482,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1947
0.194,Global Average Surface Temperature,0.194,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.37,0.282,0.37,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1948
0.182,Global Average Surface Temperature,0.182,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.324,0.253,0.324,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1949
0.113,Global Average Surface Temperature,0.113,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.251,0.182,0.251,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1950
0.291,Global Average Surface Temperature,0.291,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.419,0.355,0.419,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1951
0.357,Global Average Surface Temperature,0.357,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.501,0.429,0.501,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1940
0.331,Global Average Surface Temperature,0.331,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.481,0.406,0.481,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1941
0.28,Global Average Surface Temperature,0.28,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.45,0.365,0.45,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1942
0.32,Global Average Surface Temperature,0.32,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.492,0.406,0.492,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1943
0.414,Global Average Surface Temperature,0.414,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.586,0.5,0.586,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1944
0.278,Global Average Surface Temperature,0.278,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.446,0.362,0.446,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1945
0.114,Global Average Surface Temperature,0.114,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.24,0.177,0.24,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1934
0.071,Global Average Surface Temperature,0.071,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.199,0.135,0.199,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1935
0.125,Global Average Surface Temperature,0.125,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.251,0.188,0.251,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1936
0.297,Global Average Surface Temperature,0.297,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.421,0.359,0.421,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1937
0.299,Global Average Surface Temperature,0.299,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.429,0.364,0.429,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1938
0.264,Global Average Surface Temperature,0.264,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.402,0.333,0.402,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1939
0.106,Global Average Surface Temperature,0.106,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.236,0.171,0.236,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1928
,Global Average Surface Temperature,-0.084,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.048,-0.018,0.048,-0.084,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1929
0.139,Global Average Surface Temperature,0.139,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.271,0.205,0.271,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1930
0.197,Global Average Surface Temperature,0.197,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.329,0.263,0.329,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1931
0.166,Global Average Surface Temperature,0.166,,GCS_CE_A,Pre-industrial temperature anomaly (Celsius),0.29,0.228,0.29,,,State,Surface Temperature,SURFACE TEMPERATURE,2018,1850,"By 2030, an equitable and just transition is underway that limits warming to 1.5°C, protects people and nature, and builds a climate resilient future.",521,Climate & Energy,Yes,,1932
